NAME                                                           READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                                                                                    SELECTOR
deployment.apps/llmops-mongodb-deployment                      1/1     1            1           107d    llmops-mongodb                      asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mongo:4.4.6                                                                                                                   app=llmops-mongodb
deployment.apps/llmops-monitoring-api-deployment               1/1     1            1           107d    llmops-monitoring-api               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-monitoring-api:v1.8.1-14-gdf68ac99a5                                                                                   app=llmops-monitoring-api
deployment.apps/llmops-monitoring-pod-deployment               1/1     1            1           107d    llmops-monitoring-pod               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-monitoring-pod:v1.8.1                                                                                                  app=llmops-monitoring-pod
deployment.apps/llmops-monitoring-process-deployment           1/1     1            1           107d    llmops-monitoring-process           asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-monitoring-process:v1.8.1                                                                                              app=llmops-monitoring-process
deployment.apps/llmops-monitoring-resource-deployment          1/1     1            1           107d    llmops-monitoring-resource          asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-monitoring-resource:v1.8.1                                                                                             app=llmops-monitoring-resource
deployment.apps/llmops-notify-api-deployment                   1/1     1            1           107d    llmops-notify-api                   asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-notify-api:v1.8.1                                                                                                      app=llmops-notify-api
deployment.apps/llmops-orchestrator-deployment                 1/1     1            1           107d    llmops-orchestrator                 asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-orchestrator:v1.8.1-23-g748ab88817                                                                                     app=llmops-orchestrator
deployment.apps/llmops-preprocess-api-deployment               1/1     1            1           99d     llmops-preprocess-api               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-preprocess-api:vertex-proxy-compat-preembedfix-38996bfa02-20260427-143638                                              app=llmops-preprocess-api
deployment.apps/llmops-preprocess-api-worker-deployment        1/1     1            1           88d     llmops-preprocess-api-worker        asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-preprocess-api:vertex-proxy-compat-preembedfix-38996bfa02-20260427-143638                                              app=llmops-preprocess-api-worker
deployment.apps/llmops-pypi-server-deployment                  1/1     1            1           107d    llmops-pypi-server                  asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/pypiserver/pypiserver:v2.1.1                                                                                                  app=llmops-pypi-server
deployment.apps/llmops-rabbitmq-stomp-deployment               1/1     1            1           107d    llmops-rabbitmq-stomp               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/rabbitmq:3.10-stomp                                                                                                           app=llmops-rabbitmq-stomp
deployment.apps/llmops-redis-deployment                        1/1     1            1           107d    llmops-redis                        asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/redis:7.4.6                                                                                                                   app=llmops-redis
deployment.apps/llmops-report-api-deployment                   1/1     1            1           107d    llmops-report-api                   asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-report-api:v1.8.1                                                                                                      app=llmops-report-api
deployment.apps/llmops-task-api-deployment                     1/1     1            1           107d    llmops-task-api                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-task-api:v1.8.1                                                                                                        app=llmops-task-api
