target_priority_id,competitive_dynamics_id,source_view,strategic_market_id,product_name_kor,priority_rank,target_customer,source_type,source_evidence,raw_row_id,raw_column_ids,raw_product_name_kor_json,raw_value_json,raw_conflict_values_json,data_source_type,cd_definition_type,cd_brand_count,auto_fill_scope,auto_fill_metric,auto_fill_source,auto_fill_tie_break,precompute_status,source_file_version
tp_046,cd_011,UBIST,strategy_009,피나스타/제이다트,2,CL Uro,raw_from_sheet,시장정의 & Target R55 / col M,55,"[""M""]","[""피나스타/제이다트""]","[""CL Uro""]",[],UBIST,filter_explicit,140,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_047,cd_011,UBIST,strategy_009,피나스타/제이다트,3,CL IGF,raw_from_sheet,시장정의 & Target R56 / col M,56,"[""M""]","[""피나스타/제이다트""]","[""CL IGF""]",[],UBIST,filter_explicit,140,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_048,cd_011,UBIST,strategy_009,피나스타/제이다트,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=UBIST; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""M""]","[""피나스타/제이다트""]",[null],[],UBIST,filter_explicit,140,CD market top 4,sales,UBIST,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_049,cd_012,IQVIA,strategy_010,뉴트로진,1,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,54,"[""N""]","[""뉴트로진""]",[null],[],IQVIA,filter_explicit,8,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_050,cd_012,IQVIA,strategy_010,뉴트로진,2,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,55,"[""N""]","[""뉴트로진""]",[null],[],IQVIA,filter_explicit,8,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_051,cd_012,IQVIA,strategy_010,뉴트로진,3,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,56,"[""N""]","[""뉴트로진""]",[null],[],IQVIA,filter_explicit,8,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_052,cd_012,IQVIA,strategy_010,뉴트로진,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""N""]","[""뉴트로진""]",[null],[],IQVIA,filter_explicit,8,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_053,cd_013,IQVIA,strategy_010,모빌리아,1,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,54,"[""O""]","[""모빌리아""]",[null],[],IQVIA,filter_explicit,2,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_054,cd_013,IQVIA,strategy_010,모빌리아,2,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,55,"[""O""]","[""모빌리아""]",[null],[],IQVIA,filter_explicit,2,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_055,cd_013,IQVIA,strategy_010,모빌리아,3,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,56,"[""O""]","[""모빌리아""]",[null],[],IQVIA,filter_explicit,2,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
